Time	cb	gl	xy
1.680000000000000000e+02	1.354074334871856466e+00	1.253100476125887042e+01	6.408480804747537896e+00
1.710000000000000000e+02	1.343614696615128778e+00	1.241501802673393051e+01	6.345410451677961028e+00
1.740000000000000000e+02	1.337074207252157310e+00	1.237739795333214765e+01	6.328143160785372423e+00
1.770000000000000000e+02	1.337792137423359007e+00	1.240928689949703312e+01	6.360390995054612695e+00
1.800000000000000000e+02	1.328302606890653603e+00	1.244751521852155918e+01	6.393576408392305233e+00
1.830000000000000000e+02	1.339634218952852285e+00	1.244830029026625695e+01	6.403846522625699755e+00
1.860000000000000000e+02	1.335371299921078947e+00	1.249261128850303137e+01	6.407585305116977992e+00
1.890000000000000000e+02	1.341358395179392371e+00	1.251067055379114379e+01	6.411598652449790769e+00
1.920000000000000000e+02	1.340469307501129581e+00	1.264524010603184401e+01	6.481314851519832665e+00
1.950000000000000000e+02	1.338705016567541595e+00	1.269143672019615465e+01	6.492995995908723117e+00
1.980000000000000000e+02	1.338748298643553714e+00	1.275813673213932198e+01	6.521017183959124885e+00
2.010000000000000000e+02	1.334765141980776448e+00	1.272441538480221368e+01	6.499674622513498257e+00
2.040000000000000000e+02	1.334931313544008846e+00	1.278989698771941264e+01	6.525124175619284372e+00
2.070000000000000000e+02	1.338915491979635775e+00	1.272976215911880971e+01	6.476090095830273619e+00
2.100000000000000000e+02	1.332133730119963388e+00	1.274821756359944480e+01	6.497499772028647591e+00
2.130000000000000000e+02	1.332319923244102311e+00	1.266172528412818110e+01	6.464539808228488837e+00
2.160000000000000000e+02	1.319533642035220389e+00	1.268214173254363608e+01	6.476042752007972858e+00
2.190000000000000000e+02	1.319288219680272434e+00	1.261474727026726583e+01	6.442283590722136744e+00
2.220000000000000000e+02	1.313744209733415103e+00	1.262237365101096742e+01	6.454973925608943119e+00
2.250000000000000000e+02	1.314351327140901304e+00	1.259480482701209425e+01	6.431616167199905476e+00
2.280000000000000000e+02	1.310211066079244535e+00	1.257373546610259574e+01	6.430559823352549387e+00
2.310000000000000000e+02	1.304822666659575470e+00	1.240096239083971597e+01	6.341226240516040669e+00
2.340000000000000000e+02	1.304541850217667331e+00	1.262730824890431869e+01	6.436985622205420476e+00
2.370000000000000000e+02	1.311855633900816720e+00	1.287750435299287588e+01	6.539547237173702676e+00
2.400000000000000000e+02	1.312467015003447424e+00	1.317772456909569812e+01	6.674029857653029474e+00
2.430000000000000000e+02	1.316649122489195634e+00	1.342215538151499743e+01	6.784090051727072357e+00
2.460000000000000000e+02	1.300468779562183208e+00	1.375385393590301319e+01	6.930744051104788639e+00
